Williamsburg,Rent Price,Num. Taxi Trips,Num. Complaints,FELONY,Uber
X2010.01,2500,203946,2413,226,0
X2010.02,2500,157781,2238,197,0
X2010.03,2500,170857,2803,232,0
X2010.04,2600,207672,2525,256,0
X2010.05,2625,230270,2457,262,0
X2010.06,2700,204645,2388,291,0
X2010.07,2775,221545,2664,316,0
X2010.08,2830,195230,2463,281,0
X2010.09,2900,230258,2157,292,0
X2010.10,2950,231710,2463,303,0
X2010.11,2800,198192,2616,227,0
X2010.12,2723,199024,2232,277,0
X2011.01,2800,202530,2117,261,0
X2011.02,2750,202530,2293,161,0
X2011.03,2763,251744,2457,226,0
X2011.04,2900,251744,2266,248,0
X2011.05,2900,257727,2446,253,0
X2011.06,2973,269009,2496,252,0
X2011.07,2900,256432,2588,287,0
X2011.08,2900,213504,2682,286,0
X2011.09,2973,294110,2320,286,0
X2011.10,3000,291214,2384,283,0
X2011.11,3000,252436,2226,265,0
X2011.12,2850,252436,2356,292,0
X2012.01,3032,262034,2003,276,0
X2012.02,3000,292985,1779,251,0
X2012.03,3000,312090,2341,254,0
X2012.04,3062,292160,2382,238,0
X2012.05,3150,296589,2705,290,0
X2012.06,3250,290712,2543,243,0
X2012.07,3200,290712,2490,280,0
X2012.08,3100,282620,2280,311,0
X2012.09,3325,315192,2208,255,0
X2012.10,3350,300477,2193,275,0
X2012.11,3350,303504,1869,232,0
X2012.12,3499,308282,1939,248,0
X2013.01,3398,297448,2046,253,0
X2013.02,3300,293115,1782,217,0
X2013.03,3200,355587,2539,237,0
X2013.04,3000,335771,2469,239,0
X2013.05,3150,356623,2666,279,0
X2013.06,3250,346813,2793,293,0
X2013.07,3200,317102,2312,316,0
X2013.08,3199,319697,2278,297,0
X2013.09,3195,387805,2512,296,0
X2013.10,3100,375848,2509,307,0
X2013.11,3101,377453,2252,242,0
X2013.12,2999,330047,2238,269,0
X2014.01,3002,305118,3242,270,2500
X2014.02,3000,303069,2455,196,5000
X2014.03,3071,365850,2797,296,7500
X2014.04,3200,313539,2905,292,10000
X2014.05,3200,332777,3331,299,12500
X2014.06,3295,299252,3462,286,15000
X2014.07,3250,271503,3221,327,17500
X2014.08,3200,263351,3002,307,20000
X2014.09,3200,279974,3026,284,22500
X2014.10,3157,290702,2988,282,25000
X2014.11,3050,269314,2819,229,27500
X2014.12,3050,247213,2708,198,30000
X2015.01,3050,231400,3025,241,32500
X2015.02,3050,250602,2934,186,35000
X2015.03,3050,264169,3544,236,37500
X2015.04,3100,277174,3166,229,40000
X2015.05,3100,291483,3725,292,42500
X2015.06,3300,218265,3785,306,45000
X2015.07,3350,196305,3750,324,47500
X2015.08,3250,193560,3431,310,50000
X2015.09,3200,200477,3568,278,52500
X2015.10,3200,207049,3683,311,55000
X2015.11,3254,183276,3289,238,57500
X2015.12,3300,178857,2925,215,60000
X2016.01,3275,146373,3393,240,62500
X2016.02,3200,153344,3123,195,65000
X2016.03,3100,165533,3344,252,67500
X2016.04,3100,162780,3441,232,70000
X2016.05,3195,167079,4564,268,72500
X2016.06,3199,150245,4040,257,75000
X2016.07,3195,90712,3215,275,77500
X2016.08,3200,83517,3336,296,80000
X2016.09,3150,92048,3336,259,82500
X2016.10,3150,92713,3569,262,85000
X2016.11,3100,78505,2969,260,87500
X2016.12,3070,80784,2944,205,90000
X2017.01,3000,81298,3415,230,92500
X2017.02,3000,80441,3059,200,95000
X2017.03,3050,87222,3302,211,97500
X2017.04,3100,89634,3413,244,100000
X2017.05,3150,95897,3717,271,102500
X2017.06,3190,82935,3959,267,105000
X2017.07,3121,67372,3632,307,107500
X2017.08,3117,64444,3505,283,110000
X2017.09,3100,73465,3859,297,112500
X2017.10,3000,73747,3977,224,115000
X2017.11,2967,67304,3451,228,117500
X2017.12,2900,68674,3457,214,120000
X2018.01,2900,56494,4462,234,122500
X2018.02,2950,55724,3563,224,125000
X2018.03,2950,132954,3593,245,127500
X2018.04,2999,65120,4021,235,130000
X2018.05,3000,64871,4578,278,132500
X2018.06,3000,63482,4547,282,135000
X2018.07,3000,53430,4384,284,137500
X2018.08,3025,54183,4337,274,140000
X2018.09,3000,57909,4513,273,142500
X2018.10,3000,66353,4666,268,145000
,,,,,147500
,,,,,150000
